place,like,content,tag,date
,276,Space in <카페 브리즈 @cafe__breeze__ >✒️경북 영주시 두서길87번길 43-‘일상이 여행이 되는 순간’-#공간여행자보네무네,['#공간여행자보네무네'],2021-09-29
,32,저희와 같은건물 샌드박스에서샌드박스 임직원분들을 위해 개그맨 이창호님께서[개국 500일 기념 카페 골든벨] 이벤트를 레이지앤코서울에서열어주셨어요~!!🤗😆개인적으로 빵송국 유투브채널너무 웃겨서 보고있었는데><><!!!🥳🥳🥳3일간(9월29일~10월1일)주문시 사원증 제시해주시고주문해주시면 됩니다🙂 컵홀더 속 특별축하영상도 있으니오셔서 컵홀더도 꼭 챙겨가세요🥤#레이지앤코서울#샌드박스#개그맨이창호#개그맨곽범#빵송국#레이지앤코 #레이지앤코서울 #lazyandco #lazyandcoseoul #서울커피맛집 #서울카페 #용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#라떼맛집  ☕ ☕️ #바닐라라떼맛집 #원두맛집 #원두맛있는카페,"['#레이지앤코서울', '#샌드박스', '#개그맨이창호', '#개그맨곽범', '#빵송국', '#레이지앤코', '#레이지앤코서울', '#lazyandco', '#lazyandcoseoul', '#서울커피맛집', '#서울카페', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#라떼맛집', '#바닐라라떼맛집', '#원두맛집', '#원두맛있는카페']",2021-09-28
Skyrabbit In Hongdae,36,EVERYTHING GOOD!🎶° 잘 되어가시나단맛을 바탕으로 한 밸런스스카이래빗에서는 다양한 #스페셜티원두 를 드셔보실 수 있습니다. 잘 되어가시나의 화사함이 기분을 더 좋게 하네요:) #skyrabbitcafe #hongdaestreet,"['#스페셜티원두', '#skyrabbitcafe', '#hongdaestreet']",2021-09-28
P3R:C,78,"100% SPECIALTY P3R:C COFFEE 정성가득한 한잔의 커피입니다.MATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피', '#p3rc_coffee']",2021-09-28
강동역,65,우리 환갑잔치한듯 ~~~알럽~~~ 진아야#서울커피맛집 #서울커피추천 #강동구맛집 #강동구카페 #강동역맛집 #강동역카페 #강동역추천 #카페추천 #강동역맛집 #커피맛집 #원두 #원두추천 #원두맛집 #원두판매 #원두가게 #커볶아 #커피볶는아침강동 #핸드드립 #핸드드립커피전문점 #핸드드립커피 #일상 #daily #coffee #coffeetime #맞팔 #맞팔환영 #소통 #instagood #instalike #fff,"['#서울커피맛집', '#서울커피추천', '#강동구맛집', '#강동구카페', '#강동역맛집', '#강동역카페', '#강동역추천', '#카페추천', '#강동역맛집', '#커피맛집', '#원두', '#원두추천', '#원두맛집', '#원두판매', '#원두가게', '#커볶아', '#커피볶는아침강동', '#핸드드립', '#핸드드립커피전문점', '#핸드드립커피', '#일상', '#daily', '#coffee', '#coffeetime', '#맞팔', '#맞팔환영', '#소통', '#instagood', '#instalike', '#fff']",2021-09-27
서울 당산동,180,#당산카페 #맨홀커피 #☕️ 집근처 멋있는 카페가 생겼다🙂너무 아파트 상가라 사람별로 없을줄 알았는데 벌써 아주 핫했다 🔥체리우드컬러 인테리어에 책장까지 Daunt books 느낌 📚너므조아~~#manholecoffee 📍선샤인드링크 6.3📍아메리카노 5.3,"['#당산카페', '#맨홀커피', '#☕️', '#manholecoffee']",2021-09-27
잠실 시그마타워,49,센스쟁이 진아 온니가 잠실점 커볶아에서 깜짝 생일파티 해주셨어용 🥺🤍이쁜언니의 생일 축하덕에 두배 감동받은 아저씨 ✨♥️,[],2021-09-27
까사디도노,25,어느덧 9월의 마지막주가 되었어요!가을로 접어들수록 하늘이 점점 높아지고 있습니다.맛있는 커피로 그간 지치고 힘든 일들 날려버리시길 바랍니다!.운영시간은 9:00 ~ 19:00 까지 입니다😁,[],2021-09-27
잠실 시그마타워,68,🥳오늘 우리 종걸 아저씨 생신 ♥️ 모두 우리 아저씨 생신 축하해 주세요🤍🤍🤍(저희 모두 백신 2차 완료했습니다〰ㅎㅎ),[],2021-09-27
P3R:C,100,"기분 좋은 햇살이 들어오는 햇살 맛집 펄시~ 100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피', '#p3rc_coffee']",2021-09-26
코페아신드롬,20,일요일 추천 원두. 브라질 약배전파카마라 중배전 그밖에 원두들 준비되어 있습니다.#코페아신드롬 #코페아신드롬마포 #브라질 #파카마라 #콜드브루맛집 #콜드브루원액 #핸드드립카페 #서울카페 #서울카페추천 #마포카페 #마포구청역맛집 #상암카페 #망원카페 #망원커피 #합정커피 #홍대커피 #서울커피맛집 #강배전 #융드립커피 #정통커피 #스페셜티커피 #콜드브루커피,"['#코페아신드롬', '#코페아신드롬마포', '#브라질', '#파카마라', '#콜드브루맛집', '#콜드브루원액', '#핸드드립카페', '#서울카페', '#서울카페추천', '#마포카페', '#마포구청역맛집', '#상암카페', '#망원카페', '#망원커피', '#합정커피', '#홍대커피', '#서울커피맛집', '#강배전', '#융드립커피', '#정통커피', '#스페셜티커피', '#콜드브루커피']",2021-09-26
Mtl Hyochang,15,-[MTL 효창] ♥♥♥♥♥ 애플크럼블도 맛있고치즈어쩌구파운드 미친놈이다그리고 더치가 진짜 맛있다커피 찐맛집 (보난자커피)커피도 베이커리도 대만족직원분들도 친절하고공간도 트여있고초록이들도 많고 (중요)조용한 동네에 있어서아주아주아주아주 만족스러웠다-,[],2021-09-25
성수동 성수2가,282,"커피&밀크티 맛집☕🥛🍰 #벤허 -성수🏠-[성수동 카페투어_#11] 이곳은 성수동에 위치한 카페 '벤허(benhur)' 입니다. 뚝섬역보다는 성수역에 더 가까운 거리에 있어요.👣 (*현재 네이버지도에서 두 지점으로 검색되나 본점이던 한남점은 폐업한 상태입니다❗) 달달 디저트 덕후인 저는 아이스크림이 들어간 썸머라떼와 초코+아이스크림 조합의 마틸다 초코케이크를 맛보러 출동했어요.🍦 시그니쳐 메뉴가 세 개나 있는 커피 맛집이지만, 논커피 메뉴 밀크티도 유명해요!🥛 평일 2시까지는 런치아워에는 아메리카노, 라떼 할인이 진행된다고 하니 참고해 보세요!🕑-MENU📋(메뉴판 사진 있어요!📷/*1인1음료)☕비엔알치알 커피(6.0￦) -이곳의 시그니쳐 커피.🏅 여기 시그니쳐는 Only Ice로만 만들어 팔고 있었어요.❄ 양은 적지만 넛츠가 들어가 고소하니 추천드려요.😚🥜☕썸머라떼(6.8￦) -이것도 시그니쳐에요. 썸머라떼지만 사계절 팔아요!🌞 아이스크림이 들어가 달달 그 자체에요.😋🍦🍰마틸다 초콜릿 케이크(9.0₩) -정말 영화 <마틸다>에 나오는 초코케이크처럼 겉에 가득 초코로 뒤덮인 케이크와 싱크로율 100%인 것을 보고 갔는데, 어찌된건지 인스타 계정에 올라온 사진과 달리 초코시럽이라고는 찾아볼 수 없었어요..💧 게다가 쉬폰케이크가 아닌 퍼석한 식감이라서 더욱 아쉬웠네요.🙁 아이스크림이 있는 건 좋았지만 가격 대비 만족이 안됐던.🥲-총평:🌟🌟🌟🌟⭐(4/5) 커피가 맛있는 곳인 건 확실!👍 분위기는 의자가 편하지는 않았고, 공간이 넓어서 살짝 울렸어요. 종합적으로 생각했을 때 가성비는 잘 모르겠네요..😶 다른 디저트들도 맛있다는데 하필 제가 시킨 초콜릿 케이크가 아쉬워서..만약 상상한 비주얼의 마틸다 케이크를 드시고 싶으면 직원 분께 확인을 하시고 주문하시는게 좋을거 같아요.😅 감성있는 커피&디저트 맛집으로 추천합니다.😗-#bnhr#성수동맛집투어_현투","['#벤허', '#11]', '#bnhr', '#성수동맛집투어_현투']",2021-09-25
,12,아직 시~원한 에이드도 많이 찾아주시는걸 보니😊더위가 이번엔 천~천히 가려나봐요🤭일교차가 심하니 춥지않게 조심하세요!남은 금요일도 건강하게 힘내세요!!💪🙂#레이지앤코 #레이지앤코용산 #lazyandco #lazyandcoseoul #서울커피맛집 #서울카페 #용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#라떼맛집  ☕ #수제청에이드 🍹 #오렌지에이드 #자몽에이드#레몬에이드 #라임에이드 #원두맛집 #원두맛있는카페,"['#레이지앤코', '#레이지앤코용산', '#lazyandco', '#lazyandcoseoul', '#서울커피맛집', '#서울카페', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#라떼맛집', '#수제청에이드', '#오렌지에이드', '#자몽에이드', '#레몬에이드', '#라임에이드', '#원두맛집', '#원두맛있는카페']",2021-09-24
스탠다드시스템 StandardSystem,114,인테리어부터 커트러리까지 대만-족,[],2021-09-24
P3R:C,81,"P3R:C COFFEE®FW Signature! ***Flat Mocha~~:)플렛화이트 베이스의 마티아 블랜드 음료로 시그니처8온스 전용컵에 작지만 정성가득한 #펄시커피만의 메뉴입니다~!!!!!매장에서 ***플렛모카를 만나보세요.100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피만의', '#펄시커피', '#p3rc_coffee']",2021-09-24
P3R:C,84,"P3R:C COFFEE®🦸🏻‍♂️🦸🏼‍♂️ 🙂🙃👌🏻🤘🏻100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피', '#p3rc_coffee']",2021-09-24
신정네거리 스마일빈,42,추석연휴도 끝났고 정말 가을이네요🍂찬바람 솔솔 불 땐 따끈한 라떼죠?맛있는 라떼와 스콘 드시러 스마일빈으로 오세요•‿•🤎ㅡ✔#카페스마일빈 은 매장에서 직접 로스팅 한 원두로 커피를 내리고 ☕✔직접 반죽하여 정성 담아 구운 쿠키를 개별 실링 포장하여 판매합니다 🍪📌 2호선 신정네거리역 4번출구 도보5분📩 문의 DM 또는 네이버 [카페스마일빈] 검색,['#카페스마일빈'],2021-09-23
,86,#휴식아침 방송 후 잠깐 졸다가... 자다가 볼일이 있어 옛날에 살던 동네로 나들이~부천에 이사온지 벌써 5개월이 되었지만 아직까지는 서울이 익숙해서 병원도 마트 장보기도 신도림 구로 근처를 이용하는 나~~ ㅋㅋ안과 들렸다가 렌즈 주문해놓고 nc신구로점에서 커피한잔~아직까지는 낮시간대 움직이면 아이스아메리카노가 땡기는 날씨인듯~~^^로봇이 내려주는 드립커피도 있지만 조금 기다려야 해서 난 그냥 데일리블렌드 아이스아메리카노로 주문~여기 커피는 여전히 맛있고... 쫀득쫀득 달콤한 쿠키는 더 맛있어진듯~한참을 당충전겸 멍때리기 후 장보러~~^^;;#커피 #커피타임 #카페투어#라운지엑스 #nc신구로점 #라운지엑스구로 #서울커피맛집 #구로커피맛집 #구로카페 #구로커피#크로플맛집 #구로크로플맛집 #구로디저트맛집 #로봇카페 #로봇드립커피 #신기해 ㅋㅋ다시 서울로 이사오고 싶다 😅😅😅#먹스타그램 #맛스타그램 #맛있다그램 #먹부림,"['#휴식아침', '#커피', '#커피타임', '#카페투어', '#라운지엑스', '#nc신구로점', '#라운지엑스구로', '#서울커피맛집', '#구로커피맛집', '#구로카페', '#구로커피', '#크로플맛집', '#구로크로플맛집', '#구로디저트맛집', '#로봇카페', '#로봇드립커피', '#신기해', '#먹스타그램', '#맛스타그램', '#맛있다그램', '#먹부림']",2021-09-23
P3R:C,62,"P3R:C COFFEE®날씨가 하루하루 변하네요~ 시그니처를 비롯하여 핫메뉴들도 정성스럽게 준비하고 있습니다!#펄시커피 맛커하러 오세요~:)100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피', '#펄시커피', '#p3rc_coffee']",2021-09-23
강동역,39,#서울커피맛집 #서울커피추천 #강동구맛집 #강동구카페 #강동역맛집 #강동역카페 #강동역추천 #카페추천 #강동역맛집 #커피맛집 #원두 #원두추천 #원두맛집 #원두판매 #원두가게 #커볶아 #커피볶는아침강동 #핸드드립 #핸드드립커피전문점 #핸드드립커피 #일상 #daily #coffee #coffeetime #맞팔 #맞팔환영 #소통 #instagood #instalike #fff,"['#서울커피맛집', '#서울커피추천', '#강동구맛집', '#강동구카페', '#강동역맛집', '#강동역카페', '#강동역추천', '#카페추천', '#강동역맛집', '#커피맛집', '#원두', '#원두추천', '#원두맛집', '#원두판매', '#원두가게', '#커볶아', '#커피볶는아침강동', '#핸드드립', '#핸드드립커피전문점', '#핸드드립커피', '#일상', '#daily', '#coffee', '#coffeetime', '#맞팔', '#맞팔환영', '#소통', '#instagood', '#instalike', '#fff']",2021-09-23
까사디도노,22,안녕하세요 #casadidono 입니다연휴가 끝나고 다시 원래의 일상으로 돌아왔어요😁 오늘도 까사디도노는 맛있는 커피를 위해 노력하고 있어요am 09:00 - pm 19:00 까지 열려있습니다편하게 방문해주세요⭐️,['#casadidono'],2021-09-23
,72,올 해 나의 첫 무화과 💚💜🤎💗너무 좋아서 여러장 올려버리긔☕️,[],2021-09-22
청담동,19,_즐거운 명절 연휴 입니다😊까사디도노도 오늘 행복한 연휴를 보내고 돌아와활짝 열어두었습니다! 맛있는 커피 드시러 오세요🤗-오늘도 운영시간은 9:00-19:00까지 입니다🖤,[],2021-09-22
강동역,47,추석 연휴에도 커볶아는 늘 정상영업합니다 🤍 모두 즐거운 추석 보내셨죠!?🤍남은 연휴도 즐거운 시간 보내세요✨,[],2021-09-21
이노이드커피랩,13,소리 주의! 안녕하세요 이노이드 커피랩 입니다즐거운 한가위 연휴입니다❤️드립백 주문이 한가위 전에 몰려오늘도 열심히 하루를 보내는이노이드 일동입니다☺️.주문해주시고 관심가져주신모든분들 정말 감사드립니다 👍🏻.이거 보시는 모든 분들과사랑하는 고객님들 그리고 내 가족친구 모두 행복하길 소망합니다🥰.INOID COFFEE LAB☕.주소 : 서울시 중랑구 면목동 52-11.,[],2021-09-21
알레그리아,19,배가 너무 불렀지만 여기까지와서 이걸 안먹을 수 없쟈나😂한번 먹고 반해서 광화문쪽 가면 커피는 무조건 여기만 간당 메뉴이름도 맨날 헷갈리지만 이거 너무 맛있다…배부른 상태에서 한입 먹고도 감탄이 나오는 맛😋👍사장님 제발 강남에도 하나 내주세요#알레그리아 #광화문카페,"['#알레그리아', '#광화문카페']",2021-09-19
,189,💙,[],2021-09-19
P3R:C,201,"P3R:C COFFEE®오늘도 쓰러지는 날씨네요.펄시커피 감나무 마당에서 스페셜티 커피한잔~:)커피맛도 쓰러지는거 아시죠? 🚑☕️🚑☕️100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#펄시커피', '#p3rc_coffee']",2021-09-19
도곡동 클라우즈비 Cloudsb,13,건강하고 평안한 추석 연휴 지내세요!🌕.#클라우즈비 #CLOUDSB #specialtycoffee #breakfast #도곡동카페 #양재천커피 #매봉역맛집 #도곡동맛집 #양재천맛집 #서울브런치 #서울커피맛집 #강남브런치,"['#클라우즈비', '#CLOUDSB', '#specialtycoffee', '#breakfast', '#도곡동카페', '#양재천커피', '#매봉역맛집', '#도곡동맛집', '#양재천맛집', '#서울브런치', '#서울커피맛집', '#강남브런치']",2021-09-18
,789,틈틈이 자주보는 @crumb.yoon (사진장인) 언니랑 동네에서 💚 요즘 날씨에 테라스 안 즐기면 유죄 입니다.. 날도 좋은데 모두 맛커 하셨나요 ☺️,[],2021-09-18
센터커피 - Big Pilot Bar,17,this kind of day ☕ { feat. iwc아인슈페너 }#커피 #카페 #서울커피 #명품커피 #서울카페 #명품카페 #일상 #을지로커피 #서울커피맛집 #cafe #coffee #yummy #delicious #marvelous #咖啡 #首爾咖啡 #名牌咖啡 #專櫃咖啡 #首爾咖啡館#茶店,"['#커피', '#카페', '#서울커피', '#명품커피', '#서울카페', '#명품카페', '#일상', '#을지로커피', '#서울커피맛집', '#cafe', '#coffee', '#yummy', '#delicious', '#marvelous', '#咖啡', '#首爾咖啡', '#名牌咖啡', '#專櫃咖啡', '#首爾咖啡館', '#茶店']",2021-09-18
서울숲 Seoul Forest Park,11,"안녕하세요 @5star_coffee_seoulforest 입니다! 추석 연휴가 시작되었네요. 오랫만에 가족들과 즐겁고 행복한 시간 보내세요~👨‍👩‍👧‍👦 혹여 가족들과 못 만나시는 분들 혹은 가족들과 커피 한잔이 생각나신다면 저희 @5star_coffee_seoulforest 함께 하세요😂 저희는 추석당일 하루만 쉽니다!! 해피 추석~~🌾🌾🌾09.18-09.19 (SAT, SUN) 10:00-19:00  09.20 (MON)  10:00-17:00  09.21 (TUE)  CLOSED   09.22 (WED)  10:00-17:00",[],2021-09-18
커피볶는아침,44,요래요래  커피사들고  집으로가신다는고객님들  저의고객님들 추석 잘 보내시고오세요  커볶은 문 활짝 열러있어요#서울커피맛집 #서울커피추천 #강동구맛집 #강동구카페 #강동역맛집 #강동역카페 #강동역추천 #카페추천 #강동역맛집 #커피맛집 #원두 #원두추천 #원두맛집 #원두판매 #원두가게 #커볶아 #커피볶는아침강동 #핸드드립 #핸드드립커피전문점 #핸드드립커피 #일상 #daily #coffee #coffeetime #맞팔 #맞팔환영 #소통 #instagood #instalike #fff,"['#서울커피맛집', '#서울커피추천', '#강동구맛집', '#강동구카페', '#강동역맛집', '#강동역카페', '#강동역추천', '#카페추천', '#강동역맛집', '#커피맛집', '#원두', '#원두추천', '#원두맛집', '#원두판매', '#원두가게', '#커볶아', '#커피볶는아침강동', '#핸드드립', '#핸드드립커피전문점', '#핸드드립커피', '#일상', '#daily', '#coffee', '#coffeetime', '#맞팔', '#맞팔환영', '#소통', '#instagood', '#instalike', '#fff']",2021-09-18
까사디도노,25,"-오늘부터 추석 연휴 시작입니다.😄까사디도노는 추석 기간 중 9/19(일),20(월),21일(화)까지 쉬어 갑니다.오늘은 열려 있으니 가족들과 맛있는 커피 드시러 오세요~👋",[],2021-09-18
경리단길 스노잉,95,난 성덕이야,[],2021-09-17
,11,바람이 세차게부는 날에도꼬똥 드 툴레아순이🤍빼곰🤍이가 털을 휘날리며찾아왔어요>< 너무 귀엽죠?ㅠ.ㅜ강아지친구들과 어서 오세요🤗🤗#레이지앤코 #레이지앤코서울 #lazyandco #lazyandcoseoul #서울카페 #서울커피맛집 #용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#라떼맛집  ☕ #수제청에이드 🍹 #수제바닐라빈시럽 #수제바닐라빈라떼 ☕️ #바닐라라떼맛집 #원두맛집 #원두맛있는카페 #꼬동드툴레아,"['#레이지앤코', '#레이지앤코서울', '#lazyandco', '#lazyandcoseoul', '#서울카페', '#서울커피맛집', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#라떼맛집', '#수제청에이드', '#수제바닐라빈시럽', '#수제바닐라빈라떼', '#바닐라라떼맛집', '#원두맛집', '#원두맛있는카페', '#꼬동드툴레아']",2021-09-17
,256,Space in <폴키 @folki_official >✒️서울 종로구 필운동 -‘커피와 음악사이.’-#공간여행자보네무네,['#공간여행자보네무네'],2021-09-17
로코랩locolab,15,※추석연휴 안내※우리 단골분들 보고싶어서 휴무는 싫지만명절을 보내기위해(?) 쉬는날 안내해드려요🤣이번주 일욜부터 다음주 화욜까지에요.⭐️이번주 토욜은 문열어요~ 착오없으시길 바래요~ - 추석연휴 휴무 - 🌕9 월 19 일 (일) 부터  🌕9 월 21 일 (화) 까지 - 정상영업 - 🌕9월 22일(수) 오전 11시부터  추석때 로코랩 오시고 싶어도 조금만 기다려 주세요~하하핫🙈맛있는거 많이 드시고 풍성한 명절 보내세요!!!#로코랩 #추석연휴 #명절연휴 #보고싶을거에요 #토요일은영업합니다 #다음주에만나요 #맛스타그램 #먹방스타그램 #커피맛집 #서울커피맛집 #일상 #종로맛집 #광화문맛집 #안국역카페 #종각카페추천,"['#로코랩', '#추석연휴', '#명절연휴', '#보고싶을거에요', '#토요일은영업합니다', '#다음주에만나요', '#맛스타그램', '#먹방스타그램', '#커피맛집', '#서울커피맛집', '#일상', '#종로맛집', '#광화문맛집', '#안국역카페', '#종각카페추천']",2021-09-17
로코랩locolab,31,※추석연휴 안내※우리 단골분들 보고싶어서 휴무는 싫지만명절을 보내기위해(?) 쉬는날 안내해드려요🤣이번주 일욜부터 다음주 화욜까지에요.⭐️이번주 토욜은 문열어요~ 착오없으시길 바래요~ - 추석연휴 휴무 - 🌕9 월 19 일 (일) 부터  🌕9 월 21 일 (화) 까지 - 정상영업 - 🌕9월 22일(수) 오전 11시부터  추석때 로코랩 오시고 싶어도 조금만 기다려 주세요~하하핫🙈맛있는거 많이 드시고 풍성한 명절 보내세요!!!#로코랩 #추석연휴 #명절연휴 #보고싶을거에요 #토요일은영업합니다 #다음주에만나요 #맛스타그램 #먹방스타그램 #커피맛집 #서울커피맛집 #일상 #종로맛집 #광화문맛집 #안국역카페 #종각카페,"['#로코랩', '#추석연휴', '#명절연휴', '#보고싶을거에요', '#토요일은영업합니다', '#다음주에만나요', '#맛스타그램', '#먹방스타그램', '#커피맛집', '#서울커피맛집', '#일상', '#종로맛집', '#광화문맛집', '#안국역카페', '#종각카페']",2021-09-17
WAAAH,105,⠀오늘부터 일요일까지부라타 바질 카펠리니에 들어가는부라타치즈 사이즈 2배 UP 해드립니다 :-)🤍⠀✔️ 추석휴무 안내20일 월요일~22일 수요일까지 3일 휴무입니다.참고 부탁드립니다 !,[],2021-09-17
